variety,description
Chardonnay,"Smooth and subtle, this luscious wine emphasizes a rich mouthfeel over modest fruit and spicy components. Mild and complex vanilla, coconut and pear-tart flavors are there, coming out with time as the gorgeous texture coats the palate and extends the finish for a long time."
Chardonnay,"This wine from a parcel in the Fourchaume vineyard is a step up from the Fourchaume premier cru wine. That's because it has an extra edge of minerality, of apple skins and tight, ageworthy green fruits. With its final burst of acidity, this will certainly mature over the next 3–4 years."
Chardonnay,"Very rich and opulent. You can taste how the grapes had a long season to grow enormously ripe, delivering flavors of pineapples, pears and golden mangoes. Yet the cool vintage also preserved vital acidity. A delightful young Chardonnay for drinking now with upscale fare."
Chardonnay,"Dominated by wood, it offers heavy oak and toasted sensations with a hint of butterscotch alongside fresh acidity, but it lacks fruit richness."
Chardonnay,"Very smooth, almost thick, this is a rich wine in flavor and mouthfeel. It practically oozes over the palate, dripping with ripe pineapple, vanilla and cream, and coats every corner of the mouth before lingering through a long finish. It's full bodied, soft and concentrated."
Chardonnay,"Over the top in oak, a clumsy attempt to lure in consumers with vanilla and caramel flavors that have little to do with Chardonnay. It's already turning old and tired."
Chardonnay,"Lemon shave ice and hints of white peach make for crisp, clean, and pinpoint precision on the nose, which trends toward ripe with a butter element in the background. The palate shows citrus energy, from salty lemons to lime zest, with a touch of browned butter and cream throughout the sip."
Chardonnay,"Like most unoaked Chardonnays, this is a bit simply fruity, but it's also clean and fresh. Apple, melon and citrus flavors are easily carried by its medium body and mouthwatering finish."
Chardonnay,"This reserve-level wine is sublime in stone fruit and lime as well as pear. The oak used for aging this wine was all neutral, and the taste and impact of it is unobtrusive. While vibrant in fruit, it also offers richer hints of caramel and graham cracker in complex and balanced ways, ending with persistence."
Chardonnay,"Peach and lemon combine in this superripe Chablis. Reflecting the warm vintage, the wine is soft, laced with lime juice acidity and hinting at vanilla and thyme. Round and warm, it is not typical Chablis, much more akin to a Meursault."
Chardonnay,"This is old vine (1978), Wente clone Chardonnay, with bright, spicy fruit flavors of banana, pear and melon. A touch of toast and cracker comes from barrel-fermentation in neutral French oak. Forward and rich, this is one to drink up while it's young and fresh."
Chardonnay,"Not a bad price for a rich, creamy Chardonnay. It's sweet in brown sugar, orange and pineapple jam and vanilla flavors that appeal to the popular style."
Chardonnay,"For now, the full, smoky hit of new oak fills nose and palate, while fresh citrus manages to get through here and there. The palate reveals a creamy saltiness but is currently dominated by the wood flavors and still needs to integrate and combine, wait for at least a year."
Chardonnay,"Superrich in pineapple, lime, kiwi and tropical fruit flavors, this lovely Chardonnay has a rich, balanced overlay of sweet, smoky oak. A blend of Lynmar's various vineyards, the wine's brisk acidity and minerality shine through, making the richness bright and clean. A brilliant Chardonnay to drink now."
Chardonnay,"This well-priced sparkler opens with aromas of toast, yellow apple, nut butter and a hint of honey. On the palate, fine bubbles and crisp acidity balance the pear, citrus zest and roasted walnut flavors."
Chardonnay,"Lightly buttered popcorn aromas are cut by lime blossoms, sea salt and jasmine on this delicate while extremely fragrant nose. A laser-like acidity slices through the palate, where pan-seared apple flavors are lifted by lemon pith, mandarin orange skins and orange blossoms."
Chardonnay,"A citrus-dominated wine, lime and lemon giving a crisp intensity. There is a somewhat bitter toast element, but the acidity, the fresh fruits and the soft structure act as a counter-balance. Give it six months to a year. Screwcap."
Chardonnay,"Heavily oaked, with aromas of popcorn and sawdust. The palate is a touch resiny, but underneath the oak veneer you'll find some ripe apple flavors. The creamy, long finish leaves a somewhat thick and bulky impression, but there's enough vital acidity to save it."
Chardonnay,"From the winery's estate, this wine opens in pretty floral notes of jasmine and orange blossom, following on the full-bodied palate with baked pear and vanilla. It finishes tart and dry."
Chardonnay,"Light lemon and vanilla flavors and a creamy texture make this wine easy to drink. The body is on the light side, too, with soft acidity and a mouthfeel that's not too thick."
Chardonnay,"If, at first sip, this seems delicate, that's an illusion. Reticent would be a better word, for this is a wine that is still youthful, with the toast and crisp acidity acting as a framework to the rich green and white fruits that are developing. Keep for 4–5 years."
Chardonnay,"This crisp, fruity wine is packed with acidity as well as citrus flavors. It has a cool feel, beautifully fresh and with a strong mineral element. Drink this structured, textured wine from 2019."
Chardonnay,"Mike Dobrovic, winemaker at Mulderbosch, coaxes a blend of open rich fruit with a spine of steel from his fruit. The wine is definitely New World in style with its creamy wood flavors, yet it also has the ability to age, which is more Burgundian in character."
Chardonnay,"This shows that apricotty, botrytised aroma and flavor often found in Santa Lucia Chardonnays from the cooler parts of the appellation, but it's not at all sweet. Instead, it's a bone-dry wine, with vibrant acidity."
Chardonnay,"Melony aromas come with a heavy blast of brine. This feels oily and marginal, with salty, briny flavors of orange and lime that finish disjointed before falling off."
Chardonnay,"Ripe fruit aromas show alongside an equally rich, creamy palate. This wine has attractive lemon and crisp apple flavors, touched by wood to give a smooth, rich aftertaste. Drink from 2018."
Chardonnay,"Smoky and with strong wood flavors, this wine also has an attractive crisper edge that gives it a bright character. A lively wine, it's both rich and crisp. Drink now."
Chardonnay,"Soft and fruity, this has a bright, crisp backdrop of apple and pear fruits that are given a tight texture by minerality and lemon zest. It's a wine to drink soon, best from the end of 2015."
Chardonnay,"Made by major Chablis producer Jean-Marc Brocard, this wine is ripe, soft and attractively fruity. It has crisp acidity along with rich yellow fruits and a touch of minerality. The wine comes from a blend of different premier cru vineyards. Delicious and refreshing, it is ready to drink now."
Chardonnay,"Honeyed in character, this has notes of toast, sweet tropical fruit and lemon, with light acidity. The wine feels warm, ripe, open and drinkable now."
Chardonnay,"Dominated by oak, this simple Chardonnay has woody notes with underlying citrus, apricot and tropical-fruit flavors that are a tad thin."
Chardonnay,"The nose on this Chardonnay is quite attractive with notes of mango and musky florals accenting aromas of apples and sugar cookies. The dry, medium-bodied palate is a bit more subdued, with subtle apple and pear flavors accented with soft acidity. Finishes a bit short, but has a hint of spice."
Chardonnay,"This is one of the biggest, richest Chardonnays that Rodney Strong has ever produced, and no wonder, as longtime winemaker Rick Sayre was assisted by David Ramey as a consultant. The wine has Ramey-esque proportions, gigantic in fleshy tropical fruit, caramel, vanilla cream, butterscotch and meringue flavors. It's so softly decadent, it's almost better as a cocktail wine than with food."
Chardonnay,"Full and softly fruity, it has a rich feel, heightened by ripe apricot flavors. It's generous, but needs to develop to give greater definition. Drink from 2015."
Chardonnay,"Mouth-watering in its bright, pear juice freshness, this is a crisp and lemony wine, touched by cream with a tight texture layered by wood. The acidity is crisp, dominant."
Chardonnay,"Blended with 10% Viognier, this wine brings notes of flowers and peach while showing little oak influence. A touch of residual sugar sweetens the finish."
Chardonnay,"Rued Ranch consistently is the winery's top bottling. The 2011, like its predecessors, is modest in alcohol but vast in citrus, tropical fruit, honeysuckle and mineral flavors, and enriched with smoky oak and buttery notes. It has a delicate mouthfeel that makes it a joy to savor."
Chardonnay,"Shows the typicity of the vineyard, an angular, minerally wine with crisp acids and concentrated flavor. The tastes of white peaches, pineapples and tangerines are edged with zesty spices. Finishes with vanilla-honey coating of toasty oak."
Chardonnay,"Tolosa may be the only vineyard to produce two unoaked Chardonnays in the same vintage. Their '11 Central Coast is quite good. This one, from estate Edna Valley fruit, is even better. With keen acidity and a brisk minerality, it shows complex flavors of limes, kiwis and grapefruits, and hints of riper, richer tropical fruits."
Chardonnay,"This is a dialed-down, vibrantly bright and citrusy wine, tart in green apple. Integrated oak provides texture and waves of body in a lighter-styled package. Fermentation and maturation of the wine took place in new as well as seasoned French oak and stainless steel tank."
Chardonnay,"Golden hay in color, this clonal exploration imparts light-bodied peach, graham cracker and orange flavors, the latter showing prominently on the nose. Bright acidity keeps it youthfully refreshing, with both body and weight in balance."
Chardonnay,"Brisk lemon and apple notes are delicate and unassuming on the nose, making the blossomy, peachy palate on this Chardonnay a pleasant surprise. Despite its bold alcohol, zesty acidity lends freshness and the finish is invigoratingly mineral."
Chardonnay,"Complex and rich, this is full of tangy fruits, with a dense structure that brings out weight, minerality and a chewy core of zesty citrus. It very crisp and fruity at this stage and needs to develop its many other flavors. Drink from 2017."
Chardonnay,"This is a fresh and full-bodied wine, with ripe yellow fruit and citrus tones—at once warm and with crisply edged. Still young, it shows a strong mineral side that will soften with time. Drink from 2018."
Chardonnay,"Lightly reduced aromas of pear, apple and herb lead to a bright, crisp, clean palate. The aromas don't all seem in harmony at present but the palate brings plenty of enjoyment."
Chardonnay,"From Chardonnay grown on the Montagne de Reims, this is a rich and full-bodied wine. Red apple and sweet grapefruit flavors are balanced against the steely texture and zingy minerality."
Chardonnay,"Always a compelling wine, the 2011 Upper Barn shows the estate's classic acidity and minerality that give it such linear elegance. There is, however, nothing shy about the flavors, which are an explosion of oranges, peaches, limes, honey and new oak. This wine is not for aging, so drink now through 2015."
Chardonnay,"This is a big, ripe wine, yet it showcases cool-climate-influenced citrus fruits. Lemon-lime, ginger and piecrust open to sweet citrus and vanilla, with just a touch of butter. A hint of grapefruit pith on the finish provides additional structure."
Chardonnay,"There's a lack of balance, with thin, slightly bitter fruit overriding any complexity that may have been achieved with more oak. This is not offensive, it just lacks character."
Chardonnay,"A nice Chardonnay to drink now, with rich tropical fruit, apple and pear flavors, enhanced with vanilla and smoky oak. One of the more successful Silverado Chardonnays of recent years."
Chardonnay,"This wine hails from two fine vineyard sources belonging to the Dutton family—Mill Station Vineyard and Shop Bloc—within the Green Valley AVA embedded within the boundaries of the Russian River. Dry and extracted, it exudes honeysuckle and jasmine around lush layers of lemon, ginger candy and melon."
Chardonnay,"This is a big, rich, showy Chardonnay. Barrel fermented and aged in 80% new French oak, it shows buttered toast and charry vanilla bean aromas and flavors. The fruit below is good, if a little heavy and ripe, suggesting apricots and pears. Best now in its youth."
Chardonnay,"Round and ripe, this is a balanced, complex and perfumed wine. With its acidity beautifully in place, it is fresh while also having some spice, toast and minerality. Drink from 2017."
Chardonnay,"This dry wine has a nice sense of reserve along with subtle lemony, earthy and milky flavors that linger on the finish. The texture has a nip of acidity and the body is light to medium."
Chardonnay,"Showing just a few hints of minerals and crispness, this Chablis is so very light. It has some citrus and green-plum flavors along with flashes of acidity. The aftertaste is surprisingly soft for such a young wine."
Chardonnay,"Rich yet structured, this village wine from Meursault is made in a taut, tight style. Its acidity pushes through the toast flavor, which creates a nervy texture. Ready to drink  in 1–2 years."
Chardonnay,"From a cool appellation, a wine that smells bright and clean, like the scent you get when slicing into a fresh peach. There's also a lot of young, toasty oak riding on top of the fruit. Long in the mouth and in the finish, this delicious wine has crisp, supporting acids."
Chardonnay,"It's always a treat to discover a good, well-made but not overpowering wine. This one has nothing in excess, just moderate and crisp fruit flavors with light spicy accents. An appetizing texture backed by good acidity leads to a clean, dry finish. This unoaked wine from northern California should be a crowd pleaser."
Chardonnay,"This is remarkable, with modest alcohol and a concentrated, ageworthy structure. Lime and pineapple flavors are enhanced with lively, gin-like botanicals. There is vivid acidity and a lick of butterscotch on the finish."
Chardonnay,"Dominated at this young stage by wood, this is a potentially rich and creamy wine. Its structure shines through, full and generous. The fruits and the acidity still have to develop, but already the wine is showing the rounded character of a great Pouilly Fuissé. It's a wine to age, so drink from 2016."
Chardonnay,"A candy-flavored wine, this is soft and missing acidity. Some spiced apple flavors are masked by the sherbet flavor."
Chardonnay,"Light-bodied and modestly priced, this is a wine for a wide circle of friends, great for midweek meals and larger weekend gatherings. Hazelnut and caramel-honey confront the senses, while the palate offers balance and zesty acidity. The finish is soft and subtle."
Chardonnay,"With a motto of “affordable luxury,” Layer Cake sources Chardonnay fruit from the fringes of pricey appellations. In this case it draws from Monterey County vineyards near the Santa Lucia Highlands and Santa Barbara County vineyard between the Santa Maria Valley and the Sta. Rita Hills. The results are solid for the price, with expressive aromas of honeydew and vanilla soda, and a palate of juicy melon and toasted oak. It is slightly boozy, so very much in the cocktail style, and is not for those afraid of oak."
Chardonnay,"Crisp green-apple freshness blends with hints of butter and vanilla for a nicely balanced, un-oaky, medium-bodied wine at a very reasonable price."
Chardonnay,"If you like a bigger, broader style, with plenty of toast and buttery goodness, this is the one for you. It spent a year in one-quarter new barrels, another eight months in neutral oak. Oily, buttery and loaded with ripe peach, pear and pineapple fruit, it's a wine to drink chilled and early, while it retains all of its innate freshness."
Chardonnay,"This is classic Washington Chardonnay, from the winery that first put it on the national map. It's beautifully built upon ripe apple, pineapple and kiwi fruit, with proportionate acid and lovely, lightly toasty oak. The alcohol is 14.3%, and the wine strikes a perfect note of weight and density, without being fat or fatiguing."
Chardonnay,"Shows plenty of finesse in the dry, minerally profile, and the crisp acidity that makes the finish clean and savory. Could be a bit richer, but the pineapple and lemon candy flavors satisfy."
Chardonnay,"Average peach and apple aromas are as good as it gets. The palate is wet, heavy, charmless and cidery, with aggressive apple and citrus flavors. And oak wouldn't likely help it."
Chardonnay,"Rich and creamy, yellow fruit ripeness over lime zest acidity. This is powerful wine, although not heavy, its acidity bursting out through the complex flavors."
Chardonnay,"Aromas of lemon-lime soda, chalk, underripe nectarine and kumquat show on the nose of this bottling from Southern California. Tangy citrus and a wet-cement minerality show through on the sip, where ripe Gravenstein-apple flavors trend toward sour stone-fruit rinds on the finish."
Chardonnay,"Young and tight, this was fermented almost entirely in stainless, with a small percentage in neutral oak. Acids are true and bright, and the fruit a mix of apple, pear and white peach. There's a little heat in the finish; an indication that this is a substantial wine that can stand up to spicier dishes—something like tandoori chicken might be just the ticket."
Chardonnay,"Crisp and high in acidity, this is bright and lean. A taste of apple is complemented by an herbal component that almost suggests cured meat, with which it would pair nicely."
Chardonnay,"Taste this wine blind, and you'd never guess it was unoaked. It has delicious and savory notes of buttered toast and vanilla. The wine is huge in tangerines, golden mangoes, Meyer lemons and ripe peaches, brightened with crisp acidity."
Chardonnay,"Beautifully oaked, this youthful, robustly expressive wine is lemony and salty, offering a high-toned minerality that plays out as stony texture. Pear and marzipan flavors dominate, accented by vanilla and nutmeg."
Chardonnay,"Salted peach, vanilla-smeared French toast and a hint of guava make for a very powerful aromatic impression on this wine from the Arroyo Grande appellation at the southern end of San Luis Obispo County. Those scents don't exactly translate to the palate, though, where the wine it a bit leaner than promised, with apple pie flavors the most dominant."
Chardonnay,"A light, subtle nose is followed by simple but elegant Chardonnay flavors and a successful play of oak and acid. The mouthfeel is equally appealing, round and supple. The wine could use more complexity but overall, is enjoyable and will be good with a variety of richer poultry and seafood dishes."
Chardonnay,"Wearing a heavy mantle of rather green, not-too-subtle oak, the fruit in this wine struggles to be noticed. Faintly apple, with earthy notes, it is fairly buried, and the wine lacks the life and dimension on the palate one seeks in a wine with reserve status."
Chardonnay,"There is a high-toned aspect to the otherwise neutral nose that just gives away lemony hints. The palate is sprightly and fresh and reveals a very creamy, fruity, almost tropical core which is cut very pleasantly by fresh, aromatic lemon—this is Chardonnay but not as you know it. A very fruity, rich but fresh number."
Chardonnay,"The wine comes from a parcel within the Bougros Grand Cru. It is tight, still very young although with weight and ripe apricot flavors. The density of the wine marks it out, its flavors running right through the texture. It finishes with fragrant, intense acidity. Drink from 2018."
Chardonnay,"The honey and orange aromas, rich texture, full body and late-harvest flavors add up to a bold and fruity wine. With each sip, more complexity and depth comes out, making a lasting impression."
Chardonnay,"While the Larmandier's main vineyard is in Vertus, they also have a parcel in the grand cru vineyard of Cramant. It is full of beautifully ripe fruit, beginning to round out as it ages. Green fruits and white pears, as well as yeast are still dominant; drink 2010."
Chardonnay,"It's hard not to be a big fan of Giacomo Vico's beautiful Chardonnay. The wine marries the cool-climate characteristics of the Langhe (Piedmont) with a round, opulent and rich winemaking style. You'll recognize loads of yellow fruit and rose with a playful touch of sweet vanilla."
Chardonnay,"Savory, juicy, refreshing and textured, this has a crisp green-fruit feel, and is full of bright fruit flavors. The finish continues to express the lively, tight character of the wine."
Chardonnay,"Drink this polished Chardonnay now with shellfish or chicken stew. It's crisp and minerally, with a hit of acidity backing up the citrus fruit, honey and vanilla oak flavors."
Chardonnay,"Dusty mineral tones mingle amidst zesty lemon and apple in this particularly light-bodied white. Zippy and brisk, it's a lean but properly concentrated Chardonnay that finishes with vigor and vibe. Drink now through 2019."
Chardonnay,"A big, fat, spicy wine flavored with white fruits and laced with crisp acidity. It is full and opulent, but not extravagantly so, the acidity cutting through richness, leaving yellow fruits and some toast."
Chardonnay,"Soft, smooth and buttery, this is full of ripe tropical fruits and bright, citrusy acidity. Ready to drink."
Chardonnay,"This is a beautifully pure wine with good acidity and a very crisp texture. It's all about fresh citrus while keeping a place for the tight, cool character of this vineyard. The end shows grapefruit and steeliness in equal combination. Drink from 2016."
Chardonnay,"Although the 2010 vintage was cooler than the previous two years, this Chardonnay still offers rich and luscious notes of crème caramel and baked pear. The intoxicating bouquet picks up layers of lemon zest and mineral."
Chardonnay,"This is the winery's best Dijon Clones Chardonnay ever. It shows the balanced, long hangtime fruit of the vintage, bursting with ripe flavors of pineapples, oranges, honeydew melons and pears, along with toasty new French oak and vibrant acidity. What a yummy wine to drink with scallops or crab."
Chardonnay,"Made from grapes grown in Santa Barbara County's oldest commercial vineyard, one of the region's winemaking pioneers presents aromas of citrusy meringue atop a core of toasting wood. The wood vanishes on the palate, leaving light and racy apple spritzer flavors with a grand show of minerality."
Chardonnay,"Bright, soft and attractively fruity, this is an easy, open wine. An edge of acidity and minerality give the wine a good, crisp texture. Drink now."
Chardonnay,"Very similar in style and feel to the 2005 offering, Wise's 2006 Single Vineyard Chardonnay is a crisp, nicely structured wine with a preponderance of citrus and toasty oak flavors. Apple and pear notes add just the right amount of fleshiness."
Chardonnay,"One of the many vintners proud of their forthcoming Willow Creek District appellation, Bob and Jo-Ann Dunning's Chardonnay presents delicate aromas of yellow flowers, vanilla bean, peach skin and limestone. The white rocks extend to the palate, picking up nectarine elements, too, creating a lean but flavorful wine that's refreshing enough to sip all night."
Chardonnay,"Fermented and aged in barriques for six months, this retro-styled Chardonnay has aromas of toasted oak, butterscotch and vanilla that carry over to the palate along with yellow apple and citrus. You'll also notice the warmth of evident alcohol on the midpalate."
Chardonnay,"This wine is ripe, soft and fruity. The acidity, already well integrated, gives a crispness that is balanced by yellow fruits with touches of pineapple. This will be a full wine, very characteristic of the year. Drink from 2019."
Chardonnay,"Alive and dainty with soft orange blossom notes paired with fresh red apple slices and a touch of nuttiness. The mouth is more of the same, with a distinct peach pit flavor unfolding on the medium-length finish."
Chardonnay,"This wine delivers a solid hit for the popular Chardonnay style, with oak-inspired orange and mango flavors, in a creamy package. For the price, it's a good buy."
Chardonnay,"It's easy to appreciate the buttery aromas, vivid and tangy fruit like crisp apples and Bosc pears, and lively texture with appetizing acidity, elegance and raciness. It's not a big wine but a finely detailed one."
Chardonnay,"This wine is remarkably well made and memorable for its relatively large production scale, making it a great, accessible find. Integrated oak meets lifted acidity, the midpalate driven by floral and citrus highlights. The finish is light and refreshing."
Chardonnay,"This single vineyard cuvée has a lovely purity of expression. It's Fred Astaire in a bottle, with sculpted smooth apple fruit that glides across the palate. Dotted with light hints of baking spices, it finishes with a lush lingering pat of butter."
Chardonnay,"This Dijon-clone wine is well defined and complex. The mixed fruit flavors bring lime and lemon, pineapple and pear together. It's supple and long, with balanced supporting acids and a pleasing goodnight kiss of toasted marshmallows."
Chardonnay,"A big-hearted wine, packed with forward fruits, maybe dominated by the wood at this stage, but likely to become more rich as it ages. The flavors are bold, white fruits combining with lime zest acidity. For aging over the next three years."
Chardonnay,"A full-bodied wine, with some vanilla from light wood aging, rounded white fruits and a smooth texture. Touches of spice give extra interest to this fruity, open wine that is ready to drink."
Chardonnay,"Initially this may strike some tasters as an unusual expression, but give it a chance and it may well become a favorite. There's an interesting component of crushed flowers in aroma and flavor, along with nut oil, butterscotch, pineapple and apple butter. It's all supported by a mineral-driven vein."
Chardonnay,"Superripe and rich, very creamy, buttery and with a significant amount of toasty oak. The wine is open and generous, although retaining acidity and citric flavors."
Chardonnay,"A vivid bouquet of white flowers is cut by a pungent, pithy funkiness of crushed ants and iodine on this classic bottling by the Miller family and winemaker Trey Fletcher. The intriguing palate is tensely layered, with grapefruit pith, lime-sprayed limestone and a bit of almond oil on the finish, proving uniquely spicy and incredibly long-lasting."
Chardonnay,"Here's a bright young Chardonnay marked by the crisp, tingly acids that you so often find in Edna Valley wines. The fruit is vibrant, offering a burst of Meyer lemons, limes, kiwis and figs, and the finish is thoroughly dry. The alcohol level, by the way, is a relatively low 13.5%."
Chardonnay,"At first sharp and showing the influence of barrel aging in roughly 20% new French oak, this opens up and smoothes out into a supple, buttery wine. It's rich with flavors of pineapple, baked apple, sweet spices and a hint of mint. Polished and sophisticated, it generously rewards your attention with plenty of delicious details."
Chardonnay,"Strong Gravenstein and red apple and fleshy Asian pear aromas show on the sweet-leaning nose of this bottling from two vineyards in Arroyo Seco and one in Santa Lucia Highlands. Crisp apple and pear-cider notes lead into flavors of browner stone fruit, poached pear and drying apple blossoms."
Chardonnay,"A fennel note is prominent on the nose of this silky smooth and voluptuous white. Caramel-topped apple pie richness gives it an appealing personality, brightened by a lemon rind note on the finish."
Chardonnay,"With its keen acidity and mineral-dominated flavors, this currently tastes a bit austere. It also has a core of orange, apricot and mango flavors that are sweetened by oak. Don't drink it too cold, and allow it to breathe before consuming."
Chardonnay,"Stylistically, this is a racy, no-oak wine that smells of pineapple and tastes of citrus and passion fruit. The mouthfeel is citrusy, like fruit juice, with a lean, linear, citric finish that's bright in feel but tastes tangy and simple."
Chardonnay,"Here's a light, easy Chardonnay from Friuli in Northern Italy that offers measured aromatic intensity and notes of stone fruit, flowers and white mineral. The wine would wash down an easy salad thanks to its lean consistency and fresh finish."
Chardonnay,"This appellation blend from the single-vineyard-focused winery offers a great look at the region, showing a pithy nose full of Meyer lemon as well as a touch of yogurt. The mouthfeel is grippy with lots of nervous tension, which is much more interesting than the standard range of citrus flavors on display."
Chardonnay,"Clear and light in color, with noticeably bright acidity, this white becomes voluptuous on the palate, revealing a mix of caramel apple and crème brûlée around a medium-bodied texture."
Chardonnay,"An unusual Chardonnay produced from Cahors vineyards, this is an obviously wood-aged wine. Spice and toast are dominant at this stage and show that this rich wine needs time to allow the ripe tropical fruits to come through. Drink from 2016."
Chardonnay,"Simple, with jammy pineapple, mango and vanilla cream flavors that finish sugary sweet."
Chardonnay,"Seemingly sweet and simple, this has flavors of candied orange, peach and tropical fruit. A brisk hit of acidity provides much-needed balance."
Chardonnay,"Loads of peach and honey open the nose of this creamy, rich Chardonnay-based sparkling wine. In the mouth, the wine delivers sharp acidity and piquant effervescence."
Chardonnay,"Lemon curd, white peach and tangerine aromas make for a nicely rounded nose in this appellation blend. It's a very familiar Chardonnay expression on the palate, with a citrus edge that cuts through ripe pear and sea salt flavors. The mouthfeel shows chalky tension."
Chardonnay,"Made in the ripe, sweet, oaky California style, this barrel-fermented Chardonnay has flavors of pineapples, pears, peaches, buttered toast and vanilla cream, balanced with crisp acidity."
Chardonnay,"This delicious, sweet and fruit-driven wine smells like pineapple and honey. It tastes full bodied, very ripe and unctuous, and has a long, lingering finish. It will be great with salty cheeses and toasted nuts."
Chardonnay,"Ripe fruit aromas show alongside an equally rich, creamy palate. This wine has attractive lemon and crisp apple flavors, touched by wood to give a smooth, rich aftertaste. Drink from 2018."
Chardonnay,"This Slovenian Chardonnay has aromas of orange, vanilla, toasted almonds and citrus blossom. The mouth delivers flavors of honeydew melon, pear and apple before a crisp acidic finish."
Chardonnay,"A standout in a flight of pricier Chardonnays, this young wine is tight and focused, with a pretty toasty edge. Fresh apple and white peach flavors have taken on a lot of new oak, but have the stuffing to absorb it, especially with a bit more bottle age. A lot of vanilla, custard and almond-cookie goodness fills out the finish."
Chardonnay,"Ripe and oaky, this will appeal to those who love their Chards voluptuous. It's strong in buttered toast, caramelized wood, sweet-and-sour pineapple candy and lemondrop flavors."
Chardonnay,"This is a smooth and rounded wine with ripe yellow fruits as well as a crisp, sliced apple character. It is fruity and warm with its ripe, full flavors. Drink this generous wine now."
Chardonnay,"Popcorn and nutty notes announce the ample oak, but a complex combination of mineral and baked white-fruit aromas also emerge. It feels big, layered and chunky, but with good acidity and some finesse. It tastes of candied apple, melon and sweet peach, with a fleshy finish and lasting oak."
Chardonnay,"Tight and crisp initially, this wine opens up with spice, ripe flavors and a touch of minerality. Taut and textured, it needs to age; drink from 2017."
Chardonnay,"Lithe and lean, this Chardonnay suggests a lighter-bodied, slighter expression. Zesty acidity and tart lemon-lime flavors are refreshing and thirst quenching on the palate though. The finish eases into delicate notes of spice and toast. Drink now through 2019."
Chardonnay,"Shows the usual Williams Selyem Chardonnay profile of huge fruit and flashy oak. This opulent wine would be over-the-top except that it's balanced by crisp, lemony acidity, and somehow retains a tight core with a gravitational tug that keeps the richness focused. Impressive now for sheer power, and should hold well for another 5–6 years."
Chardonnay,"Intriguing aromas of saltwater taffy, churned butter, lemon drop and cotton candy show on the dairy-powered nose of this bottling of the historic vineyard by the Duckhorn-related producer. Lemon cream and white-peach flavors show on the sip, where a strong salty character cuts through."
Chardonnay,"A strongly toasty aroma leads to a spicy, wood-laden wine. The fruit has been suppressed by the over-enthusiastic wood aging. It might soften, so wait until 2018."
Chardonnay,"Lemony-vanilla crème brûlée rises to the fore in this medium-bodied Chardonnay. Medium to high in acidity, it retains a crisp freshness throughout its layers of fruit, finishing clean."
Chardonnay,"Key lime and honeysuckle scents show on the nose of this bottling. Pithy green apple flavors and tightly wound tension mark the palate, finishing rather short."
Chardonnay,"All the Fèvre vines are at the top of this vineyard, giving very structured, long-lived wines. This is certainly an age-worthy wine, tightly coiled and nervy, with a strong mineral note at its heart. Lemon and quince flavors are caught up in the complex structure. Drink from 2020."
Chardonnay,"This crisp, delicate Blanc de Blancs is full of white fruit, but steely and citrusy on the palate. Taut, tight and complex with a layered acidity, this is a nervy, textured wine. Although it is ready to drink now, a few more months in the bottle will make it even better."
Chardonnay,The new American oak barrel fermentation and aging steals the show on this wine. Notes of vanilla and woodspice overpower the variety's melon and apple aromas and flavors. There are some good things going on but it's hard to get at them.
Chardonnay,"From the warmer Aube vineyards in the south of Champagne, this wine is rich and full of creamy fruit. There's a touch of chalky minerality to its texture, giving it a tight edge. Aged in bottle to bring out a toasty aftertaste, it's ready to drink now."
Chardonnay,"Custard and apple pie aromas lead the charge in the bouquet of this decadent wine, accented by notes of roasted nuts and orange essence. The mouthfeel is full and creamy, with just enough acidity to lift the rich fruit, honey and sweet-spice flavors. There's a beautiful evolution to the close, from lifted citrus to ripe fruit and finally sweet spice. Drink now–2019."
Chardonnay,"A decent Chardonnay, but it's pretty sweet and simple, with the taste of sugared pineapple and orange tea. Oak and alcohol of course make it more wine-like."
Chardonnay,This wine is structured and tight with minerality and zesty lemon flavors. It has a definite texture and a nervy character that needs to round out.
Chardonnay,"This is full of steely acidity as well as complex fruit. It is rich, full of toast and spice that show up the generous swathes of yellow fruits that are just beginning to show their glory. It will develop over many years. Drink from 2017."
Chardonnay,"While this wine does not age in wood, it does age on its lees, giving it a rich, creamy texture. It's smooth, full and soft, its apricot and peach flavors showing ripeness and openness. Drink from 2018."
Chardonnay,"One in a range of wines under the Xavier Flouret brand, this wine is made by Domaine Hamelin in Chablis. It is deliciously refreshing, with just the right edge of crispness to give it a lift. At the same time, its ripe, creamy texture blends with spiced-apple fruitiness. Drink the wine now."
Chardonnay,"Very light in the glass, this bottling from a very cool-climate vineyard shows a clean line of honeysuckle, crisp Asian pear and tart lime blossoms on the nose. There is great tension to the tight and tart lime-laced sip, with some nectarine ripeness in the midpalate, lots of chalky texture and a sizzle of acidity. Racy as can be, it's great now, but will last for years. Drink now through 2030."
Chardonnay,"High in acidity, and with a tangy, minerally flourish, this Chard has ripe flavors of pineapples and papayas, enriched with smoky-sweet, vanilla-accented oak. It's a fashionable wine that will go well with rich fare, such as scallops in a cream sauce."
